Date,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2016-12-14,39.407230834960934,,46.56441505432129,16.41237867832184,48.93388772964477,41.069273223876955,41.74529916763306,23.54170310974121,36.8508876991272,60.99965215682983,72.2849114227295
2016-12-15,39.442979888916014,,46.62398149490357,16.437410564422606,48.97840476989746,41.1030721282959,41.75007772445679,23.544879026412964,36.861504554748535,61.01274198532104,72.31989696502686
2016-12-16,39.47600368499756,,46.683222408294675,16.46127236366272,49.02145011901855,41.13476282119751,41.75518039703369,23.54932144165039,36.87242761611938,61.02675371170044,72.35332698822022
2016-12-19,39.50653842926025,,46.73640258789062,16.485210666656496,49.06533020019531,41.16921545028686,41.7619246673584,23.55485209465027,36.88307842254639,61.03720115661621,72.38925319671631
2016-12-20,39.54079748153686,,46.797869052886966,16.511606073379518,49.11396934509278,41.20565418243408,41.7676879119873,23.560624103546143,36.89222505569458,61.05097616195679,72.43090969085694
2016-12-21,39.57402463912964,,46.856465911865236,16.537644143104554,49.160856075286866,41.240023937225345,41.77189588546753,23.565264377593994,36.89979778289795,61.06254663467407,72.47170677185059
2016-12-22,39.605414905548095,,46.915970211029055,16.563494505882264,49.20756282806396,41.27411651611328,41.77570756912232,23.570270538330078,36.90787126541138,61.07433662414551,72.50752056121826
2016-12-23,39.63391956329346,,46.96991195678711,16.587580394744872,49.251279754638674,41.30552526473999,41.77925703048706,23.572854528427126,36.915722351074216,61.08278844833374,72.53723609924316
2016-12-27,39.66480361938476,,47.02583337783813,16.612031669616698,49.29534648895264,41.33762266159058,41.78288320541382,23.575378398895264,36.92350467681885,61.093086051940915,72.56711219787597
2016-12-28,39.693122730255126,,47.07927808761597,16.635494709014893,49.336692848205566,41.36699542999268,41.78472982406616,23.576296472549437,36.92920080184936,61.10561098098755,72.59446468353272
2016-12-29,39.71991209030151,,47.12857643127441,16.65840346813202,49.37715143203735,41.394173831939696,41.787066040039065,23.57911684036255,36.93464738845825,61.11933992385864,72.61847354888916
2016-12-30,39.74191926956177,,47.17419687271118,16.680608649253845,49.411640586853025,41.41890134811401,41.787123394012454,23.579287281036375,36.93806859970093,61.13531518936157,72.63882263183594
2017-01-03,39.76437385559082,,47.22214906692505,16.703239278793333,49.445719928741454,41.445275897979734,41.78820693969727,23.58064700126648,36.94219131469727,61.151865272521974,72.66091571807861
2017-01-04,39.78903684616089,,47.27029615402222,16.726815514564514,49.47999586105347,41.47175086975098,41.78917327880859,23.584057693481444,36.94718620300293,61.16913005828857,72.68782604217529
2017-01-05,39.815224437713624,,47.31897747039795,16.74960823535919,49.514852371215824,41.49854591369629,41.792027378082274,23.58827096939087,36.952966136932375,61.18508539199829,72.71504974365234
2017-01-06,39.84394618988037,,47.372610893249515,16.773321285247803,49.552788276672366,41.5281093788147,41.79504165649414,23.592903537750246,36.95798080444336,61.203965759277345,72.74664222717286
2017-01-09,39.872625732421874,,47.421399421691895,16.796830248832702,49.58928897857666,41.557086849212645,41.796617374420165,23.596601219177245,36.96007167816162,61.22427635192871,72.77746112823486
2017-01-10,39.900643577575686,,47.46895193099976,16.820313487052918,49.62682641983032,41.58660526275635,41.79606409072876,23.59810209274292,36.96225910186767,61.24648586273193,72.80807182312012
